Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close(Rs.),Trade Volume,Share Volume,Turnover(Rs.)
2018-09-07,67.00,68.70,67.00,68.80,2,65,4363.50
2018-09-06,67.60,69.00,67.60,68.80,19,18133,1247583.00
2018-09-05,67.40,67.70,67.40,67.50,6,850,57363.00
2018-09-04,67.00,67.00,67.00,67.00,8,5993,401531.00
2018-09-03,65.00,67.00,65.00,66.90,27,13277,888199.00
2018-08-31,65.50,66.20,65.10,65.10,16,4880,319368.00
2018-08-30,65.90,66.00,65.50,65.80,5,131,8617.00
2018-08-29,65.50,65.90,65.00,65.40,4,618,40429.00
2018-08-28,65.10,65.10,64.80,64.80,5,7200,467990.00
2018-08-27,64.60,65.00,64.60,65.00,10,14216,923914.80
2018-08-24,65.00,65.00,64.60,64.90,23,13339,865744.50
2018-08-23,65.00,65.00,64.50,64.60,10,3357,216889.10
2018-08-21,65.90,65.90,65.00,65.00,3,557,36207.70
2018-08-20,65.10,65.10,65.00,65.00,19,6599,428943.70
2018-08-17,66.00,66.50,66.00,66.00,13,16887,1114602.50
2018-08-16,66.80,66.80,66.00,66.00,5,3855,254431.00
2018-08-15,66.50,66.50,66.50,66.50,3,11782,783503.00
2018-08-14,66.50,66.90,66.00,66.50,10,421,27997.00
2018-08-13,66.90,67.00,66.90,67.00,7,2648,177412.00
2018-08-10,66.90,66.90,66.90,66.90,1,10,669.00
2018-08-09,67.00,67.00,66.00,66.90,17,8444,565721.00
2018-08-08,67.00,67.00,66.00,66.00,20,7413,496521.20
2018-08-06,67.00,68.00,67.00,67.30,3,559,37614.50
2018-08-03,68.90,68.90,67.00,67.10,18,4695,319042.50
2018-08-02,67.50,67.50,67.50,67.50,7,1607,108472.50
2018-08-01,68.00,68.00,68.00,68.00,16,6003,408204.00
2018-07-31,68.00,69.00,68.00,68.40,22,12002,821308.20
2018-07-30,69.00,69.00,68.00,69.00,40,42945,2958200.90
2018-07-26,68.00,69.00,68.00,68.80,16,3450,237174.50
2018-07-25,68.00,68.00,67.50,68.00,20,9144,620656.70
2018-07-24,67.90,69.00,67.00,68.10,38,23906,1626583.20
2018-07-23,67.90,67.90,67.00,67.00,11,2085,139802.80
2018-07-20,66.50,67.90,66.50,66.80,2,30,2009.00
2018-07-19,66.30,66.80,66.30,66.80,5,828,55306.40
2018-07-18,68.00,68.00,66.50,66.90,29,16073,1082839.70
2018-07-17,64.80,68.00,64.80,67.10,41,38178,2562342.70
2018-07-16,64.60,67.00,64.60,66.50,47,32905,2160949.00
2018-07-13,65.00,65.00,64.20,64.40,6,169,10903.80
2018-07-12,64.00,65.00,63.20,65.00,28,9670,622970.00
2018-07-11,64.00,64.00,63.50,63.90,15,24786,1586209.00
2018-07-10,64.00,64.00,64.00,64.00,16,1075,68800.00
2018-07-09,63.50,64.00,63.10,63.90,17,20904,1335809.40
2018-07-06,63.20,64.30,63.20,63.60,21,8806,560881.40
2018-07-05,63.00,64.10,62.90,64.10,29,12568,792546.20
2018-07-04,63.70,63.90,62.50,62.90,44,13066,825114.80
2018-07-03,64.50,64.50,63.90,64.00,20,8956,574823.00
2018-07-02,65.00,65.00,64.10,64.50,22,11399,736545.80
2018-06-29,65.00,65.90,65.00,65.00,20,5149,334852.00
2018-06-28,66.50,67.00,65.00,65.40,33,9120,601824.80
2018-06-26,66.00,66.20,65.00,65.90,70,80527,5245463.70
2018-06-25,64.50,66.00,63.50,65.70,74,16435,1071061.40
2018-06-22,64.00,65.00,64.00,64.50,20,13122,846713.70
2018-06-21,64.80,64.80,63.20,64.10,41,4754,304003.70
2018-06-20,65.00,65.50,63.10,63.90,107,133282,8602074.70
2018-06-19,68.50,68.50,67.00,67.00,19,14345,965395.40
2018-06-18,68.50,68.50,67.90,68.00,6,541,36788.00
2018-06-14,69.00,69.00,68.00,68.90,31,12129,836365.10
2018-06-13,68.10,69.00,68.10,68.60,44,16644,1140608.50
2018-06-12,68.00,68.10,68.00,68.00,11,3122,212496.00
2018-06-11,67.10,68.00,67.10,68.00,15,6341,431023.60
2018-06-08,67.60,67.60,67.00,67.50,23,21303,1436928.20
